Date,Province,Cases,tsf,mst,rh,rfm,area,spd,sca
01/11/2020,Aurora,0,50672.42857,26.55714286,89,24.68879,3147,16.10184286,0
08/11/2020,Aurora,0,50558.28571,26.72857143,87.85714286,30.06168,3147,16.06557143,1.785714286
15/11/2020,Aurora,0,50444.28571,26.51428571,88,22.88197714,3147,16.0293,2.5
22/11/2020,Aurora,0,50330,26.48571429,88.28571429,18.44579714,3147,15.99304286,4.642857143
29/11/2020,Aurora,0,50216,26.57142857,88.28571429,24.13738,3147,15.95677143,4.142857143
06/12/2020,Aurora,0,50101.85714,25.71428571,89.71428571,26.06061571,3147,15.9205,3.785714286
13/12/2020,Aurora,0,49987.71429,25.44285714,90.14285714,28.92309857,3147,15.88424286,2.214285714
20/12/2020,Aurora,0,49873.57143,25.58571429,90.14285714,34.15607,3147,15.84797143,0.642857143
27/12/2020,Aurora,0,49759.42857,25.61428571,89.57142857,8.987312857,3147,15.8117,0
03/01/2021,Aurora,0,49595,25.12857143,88.85714286,6.342854286,3147,15.75945714,0
10/01/2021,Aurora,0,48827,24.42857143,87.71428571,10.21869,3147,15.51538571,0
17/01/2021,Aurora,0,47891.28571,24.65714286,86.57142857,16.81548429,3147,15.21804286,0
24/01/2021,Aurora,0,46955.28571,24.61428571,86.42857143,11.69625857,3147,14.9207,0
31/01/2021,Aurora,0,46019.71429,24.51428571,87.42857143,3.40467,3147,14.62335714,0
07/02/2021,Aurora,0,45084,25.01428571,87,4.18411,3147,14.32601429,0
14/02/2021,Aurora,0,44148.28571,24.98571429,87.42857143,7.133242857,3147,14.02865714,0
21/02/2021,Aurora,0,43212.42857,25.1,87.14285714,11.06542,3147,13.73132857,0
28/02/2021,Aurora,0,42276.71429,24.91428571,86.85714286,3.53738,3147,13.43397143,0
07/03/2021,Aurora,0,41341,26.94285714,86.42857143,13.30801143,3147,13.13664286,0
14/03/2021,Aurora,0,40405.28571,27,87.28571429,10.59265571,3147,12.83928571,0
21/03/2021,Aurora,0,39469.42857,26.67142857,86.85714286,4.80093,3147,12.54194286,0
28/03/2021,Aurora,0,38533.71429,26.68571429,87.14285714,1.34673,3147,12.2446,0
04/04/2021,Aurora,0,37666.42857,27.34285714,82.57142857,2.990922857,3147,11.96898571,0
11/04/2021,Aurora,0,37221.28571,27.87142857,80,5.18318,3147,11.8275,0
18/04/2021,Aurora,0,36844.42857,27.95714286,79.71428571,6.69065,3147,11.7078,0
25/04/2021,Aurora,0,36467.71429,27.78571429,79.85714286,3.922695714,3147,11.5881,0
02/05/2021,Aurora,0,36090.85714,28.05714286,80.42857143,2.162617143,3147,11.46838571,0
09/05/2021,Aurora,0,35714.28571,28.14285714,81.28571429,4.05794,3147,11.3486,0
16/05/2021,Aurora,0,35337.42857,28.44285714,82.42857143,1.912418571,3147,11.2289,0
23/05/2021,Aurora,0,34960.57143,28.34285714,82.57142857,3.469161429,3147,11.1092,0
30/05/2021,Aurora,0,34583.71429,28.28571429,81.42857143,9.50654,3147,10.9895,0
06/06/2021,Aurora,0,34207.14286,28.7,81.28571429,4.223497143,3147,10.86971429,0
13/06/2021,Aurora,0,33830.28571,28.82857143,80.57142857,1.961282857,3147,10.75,0
20/06/2021,Aurora,0,33453.57143,28.94285714,80.85714286,1.58879,3147,10.6303,0
27/06/2021,Aurora,0,33076.71429,28.84285714,80.71428571,11.06702429,3147,10.5106,0
04/07/2021,Aurora,0,32782.14286,28.24285714,82.57142857,10.78144143,3147,10.41698571,0
11/07/2021,Aurora,0,32995,27.95714286,83.14285714,8.29439,3147,10.4846,0
18/07/2021,Aurora,0,33290,27.84285714,83.42857143,5.45514,3147,10.5783,0
25/07/2021,Aurora,0,33585,27.98571429,83,4.421762857,3147,10.67205714,0
01/08/2021,Aurora,0,33880,28.02857143,83.14285714,3.64673,3147,10.7658,0
08/08/2021,Aurora,0,34175,28.34285714,81.71428571,4.61589,3147,10.85951429,0
15/08/2021,Aurora,0,34470,27.84285714,81.71428571,7.10561,3147,10.95328571,0
22/08/2021,Aurora,0,34765,28.17142857,82.28571429,10.09012286,3147,11.047,0
29/08/2021,Aurora,0,35059.85714,28.12857143,82,16.79346,3147,11.14074286,0
05/09/2021,Aurora,0,35354.85714,27.9,83.85714286,12.15580857,3147,11.2345,0
12/09/2021,Aurora,0,35649.85714,27.64285714,84.71428571,8.008544286,3147,11.3282,0
19/09/2021,Aurora,0,35944.85714,27.78571429,84.57142857,3.99439,3147,11.42195714,0
26/09/2021,Aurora,0,36239.85714,27.62857143,85.71428571,14.26274714,3147,11.5157,0
03/10/2021,Aurora,0,36506.14286,27.34285714,86.14285714,18.72282714,3147,11.60024286,0
10/10/2021,Aurora,0,36425.71429,27.31428571,87,19.60467,3147,11.5748,0
17/10/2021,Aurora,0,36249.42857,27.04285714,87.14285714,9.909347143,3147,11.51871429,0
24/10/2021,Aurora,0,36073.14286,27.24285714,86.85714286,9.797064286,3147,11.4627,0
31/10/2021,Aurora,0,35896.71429,27.22857143,86.85714286,11.80187,3147,11.40664286,0
07/11/2021,Aurora,0,35720.42857,27.28571429,86,9.1972,3147,11.3506,0
14/11/2021,Aurora,0,35544,27.35714286,86.42857143,10.78571714,3147,11.29457143,0
21/11/2021,Aurora,0,35367.57143,27.28571429,86.28571429,12.90374,3147,11.2385,0
28/11/2021,Aurora,0,35191.28571,27.4,86.14285714,2.02056,3147,11.1825,0
05/12/2021,Aurora,0,35014.71429,25.42857143,85.57142857,7.111617143,3147,11.1264,0
12/12/2021,Aurora,0,34838.57143,24.8,85.14285714,10.52109714,3147,11.0704,0
19/12/2021,Aurora,0,34662.28571,24.81428571,84.71428571,8.06822,3147,11.01432857,0
26/12/2021,Aurora,0,34485.71429,24.71428571,85.71428571,5.18037,3147,10.9583,0
02/01/2022,Aurora,0,34298.57143,24.8,84.85714286,3.896391429,3147,10.89882857,0
09/01/2022,Aurora,0,33755.14286,24.84285714,84.85714286,3.12336,3147,10.72615714,0
16/01/2022,Aurora,0,33049.85714,24.84285714,85.57142857,9.734845714,3147,10.50204286,0
23/01/2022,Aurora,0,32344.57143,24.81428571,84.85714286,9.48972,3147,10.27792857,0
30/01/2022,Aurora,0,31639.42857,24.74285714,85.57142857,2.26542,3147,10.05381429,0
06/02/2022,Aurora,0,30934.14286,24.98571429,88,2.912948571,3147,9.8297,0
13/02/2022,Aurora,0,30228.85714,24.92857143,88.28571429,4.371694286,3147,9.605585714,0
20/02/2022,Aurora,0,29523.42857,25.04285714,88.28571429,7.37103,3147,9.381471429,0.285714286
27/02/2022,Aurora,0,28818.14286,25.17142857,87.71428571,3.595598571,3147,9.157357143,0.714285714
06/03/2022,Aurora,0,28112.85714,26.5,86.28571429,12.41762429,3147,8.933242857,1
13/03/2022,Aurora,0,27407.57143,26.72857143,85.85714286,12.98745,3147,8.709128571,0.785714286
20/03/2022,Aurora,0,26702.42857,26.42857143,85.28571429,4.96075,3147,8.485014286,0.357142857
27/03/2022,Aurora,0,25997.14286,26.54285714,86.57142857,11.25714143,3147,8.260885714,0
